time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-4.950139,-81.238056,,,,,,,,,,,,,,,,,,
,-4.951528,-81.237222,,,,,,,,,,,,,,,,,,
,-4.952917,-81.236111,,,,,,,,,,,,,,,,,,
,-4.95375,-81.235,,,,,,,,,,,,,,,,,,
,-4.954583,-81.234444,,,,,,,,,,,,,,,,,,
,-4.955417,-81.233611,,,,,,,,,,,,,,,,,,
,-4.956528,-81.2325,,,,,,,,,,,,,,,,,,
,-4.957639,-81.231667,,,,,,,,,,,,,,,,,,
,-4.959028,-81.230556,,,,,,,,,,,,,,,,,,
,-4.960417,-81.23,,,,,,,,,,,,,,,,,,
,-4.960972,-81.229167,,,,,,,,,,,,,,,,,,
,-4.96125,-81.229167,,,,,,,,,,,,,,,,,,
,-4.96125,-81.229444,,,,,,,,,,,,,,,,,,
,-4.96125,-81.229167,,,,,,,,,,,,,,,,,,
,-4.96125,-81.228889,,,,,,,,,,,,,,,,,,
,-4.935417,-81.261111,,,,,,,,,,,,,,,,,,
,-4.937361,-81.261389,,,,,,,,,,,,,,,,,,
,-4.939583,-81.261389,,,,,,,,,,,,,,,,,,
,-4.941806,-81.261111,,,,,,,,,,,,,,,,,,
,-4.942917,-81.261667,,,,,,,,,,,,,,,,,,
,-4.944028,-81.261944,,,,,,,,,,,,,,,,,,
,-4.945139,-81.261944,,,,,,,,,,,,,,,,,,
,-4.94625,-81.2625,,,,,,,,,,,,,,,,,,
,-4.947361,-81.2625,,,,,,,,,,,,,,,,,,
,-4.947917,-81.2625,,,,,,,,,,,,,,,,,,
,-4.949028,-81.261944,,,,,,,,,,,,,,,,,,
,-4.950139,-81.261944,,,,,,,,,,,,,,,,,,
,-5.000139,-81.165556,,,,,,,,,,,,,,,,,,
,-5.001528,-81.163889,,,,,,,,,,,,,,,,,,
,-5.002639,-81.162222,,,,,,,,,,,,,,,,,,
,-5.003472,-81.161389,,,,,,,,,,,,,,,,,,
,-5.00375,-81.161389,,,,,,,,,,,,,,,,,,
,-5.003472,-81.160833,,,,,,,,,,,,,,,,,,
,-5.00375,-81.160833,,,,,,,,,,,,,,,,,,
,-5.00375,-81.16,,,,,,,,,,,,,,,,,,
,-4.949306,-81.209167,,,,,,,,,,,,,,,,,,
,-4.950972,-81.208333,,,,,,,,,,,,,,,,,,
,-4.952361,-81.2075,,,,,,,,,,,,,,,,,,
,-4.953194,-81.206667,,,,,,,,,,,,,,,,,,
,-4.954028,-81.206389,,,,,,,,,,,,,,,,,,
,-4.954306,-81.206111,,,,,,,,,,,,,,,,,,
,-4.954583,-81.205833,,,,,,,,,,,,,,,,,,
,-4.954583,-81.205556,,,,,,,,,,,,,,,,,,
,-4.979028,-81.1775,,,,,,,,,,,,,,,,,,
,-4.980139,-81.176667,,,,,,,,,,,,,,,,,,
,-4.98125,-81.176111,,,,,,,,,,,,,,,,,,
,-4.982361,-81.175278,,,,,,,,,,,,,,,,,,
,-4.983472,-81.175,,,,,,,,,,,,,,,,,,
,-4.984861,-81.174722,,,,,,,,,,,,,,,,,,
,-4.98625,-81.174722,,,,,,,,,,,,,,,,,,
,-4.987639,-81.174444,,,,,,,,,,,,,,,,,,
,-4.989306,-81.174167,,,,,,,,,,,,,,,,,,
,-4.990694,-81.173889,,,,,,,,,,,,,,,,,,
,-4.992083,-81.173611,,,,,,,,,,,,,,,,,,
,-4.993472,-81.173333,,,,,,,,,,,,,,,,,,
,-4.995139,-81.173056,,,,,,,,,,,,,,,,,,
,-4.934028,-81.22,,,,,,,,,,,,,,,,,,
,-4.935972,-81.218889,,,,,,,,,,,,,,,,,,
,-4.937361,-81.218333,,,,,,,,,,,,,,,,,,
,-4.937917,-81.218056,,,,,,,,,,,,,,,,,,
,-4.939028,-81.2175,,,,,,,,,,,,,,,,,,
,-4.939583,-81.216667,,,,,,,,,,,,,,,,,,
,-4.965139,-81.181667,,,,,,,,,,,,,,,,,,
,-4.965972,-81.181667,,,,,,,,,,,,,,,,,,
,-4.966806,-81.181944,,,,,,,,,,,,,,,,,,
,-4.967361,-81.181667,,,,,,,,,,,,,,,,,,
,-4.968194,-81.181667,,,,,,,,,,,,,,,,,,
,-4.96875,-81.181389,,,,,,,,,,,,,,,,,,
,-4.970139,-81.181389,,,,,,,,,,,,,,,,,,
,-4.979583,-81.175,,,,,,,,,,,,,,,,,,
,-4.98125,-81.175556,,,,,,,,,,,,,,,,,,
,-4.982917,-81.176111,,,,,,,,,,,,,,,,,,
,-4.984306,-81.176389,,,,,,,,,,,,,,,,,,
,-4.985417,-81.176389,,,,,,,,,,,,,,,,,,
,-4.985694,-81.176667,,,,,,,,,,,,,,,,,,
,-4.986528,-81.176667,,,,,,,,,,,,,,,,,,
,-4.987083,-81.176667,,,,,,,,,,,,,,,,,,
,-4.876528,-81.272222,,,,,,,,,,,,,,,,,,
,-4.879028,-81.271389,,,,,,,,,,,,,,,,,,
,-4.880417,-81.270278,,,,,,,,,,,,,,,,,,
,-4.88125,-81.269722,,,,,,,,,,,,,,,,,,
,-4.881806,-81.268889,,,,,,,,,,,,,,,,,,
,-4.882083,-81.268056,,,,,,,,,,,,,,,,,,
,-4.882361,-81.2675,,,,,,,,,,,,,,,,,,
,-5.009306,-81.216944,,,,,,,,,,,,,,,,,,
,-5.010694,-81.215556,,,,,,,,,,,,,,,,,,
,-5.017917,-81.209722,,,,,,,,,,,,,,,,,,
,-5.019583,-81.208611,,,,,,,,,,,,,,,,,,
,-5.020694,-81.2075,,,,,,,,,,,,,,,,,,
,-5.02125,-81.207222,,,,,,,,,,,,,,,,,,
,-5.021528,-81.206944,,,,,,,,,,,,,,,,,,
,-5.022361,-81.206389,,,,,,,,,,,,,,,,,,
,-5.022917,-81.206111,,,,,,,,,,,,,,,,,,
,-4.999861,-81.162222,,,,,,,,,,,,,,,,,,
,-5.001806,-81.160556,,,,,,,,,,,,,,,,,,
,-5.003194,-81.159167,,,,,,,,,,,,,,,,,,
,-5.004861,-81.157778,,,,,,,,,,,,,,,,,,
,-5.005972,-81.156667,,,,,,,,,,,,,,,,,,
,-5.006528,-81.156389,,,,,,,,,,,,,,,,,,
,-5.007083,-81.156667,,,,,,,,,,,,,,,,,,
,-5.007639,-81.156667,,,,,,,,,,,,,,,,,,
,-5.008194,-81.156667,,,,,,,,,,,,,,,,,,
,-5.008194,-81.156389,,,,,,,,,,,,,,,,,,
,-4.98125,-81.166944,,,,,,,,,,,,,,,,,,
,-4.982917,-81.166389,,,,,,,,,,,,,,,,,,
,-4.985139,-81.165,,,,,,,,,,,,,,,,,,
,-4.987083,-81.163889,,,,,,,,,,,,,,,,,,
,-4.989028,-81.162778,,,,,,,,,,,,,,,,,,
,-4.990972,-81.161667,,,,,,,,,,,,,,,,,,
,-4.992917,-81.160278,,,,,,,,,,,,,,,,,,
,-4.994861,-81.159167,,,,,,,,,,,,,,,,,,
,-4.997083,-81.157778,,,,,,,,,,,,,,,,,,
,-4.950417,-81.202778,,,,,,,,,,,,,,,,,,
