time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.509583,-81.055556,,,,,,,,,,,,,,,,,,
,-5.510139,-81.055,,,,,,,,,,,,,,,,,,
,-5.510972,-81.054722,,,,,,,,,,,,,,,,,,
,-5.510972,-81.054167,,,,,,,,,,,,,,,,,,
,-5.510972,-81.053333,,,,,,,,,,,,,,,,,,
,-5.510694,-81.053333,,,,,,,,,,,,,,,,,,
,-5.51125,-81.053611,,,,,,,,,,,,,,,,,,
,-5.505694,-81.058333,,,,,,,,,,,,,,,,,,
,-5.50625,-81.058056,,,,,,,,,,,,,,,,,,
,-5.506806,-81.0575,,,,,,,,,,,,,,,,,,
,-5.506806,-81.057222,,,,,,,,,,,,,,,,,,
,-5.506528,-81.056944,,,,,,,,,,,,,,,,,,
,-5.506528,-81.056389,,,,,,,,,,,,,,,,,,
,-5.505972,-81.055833,,,,,,,,,,,,,,,,,,
,-5.46875,-81.0825,,,,,,,,,,,,,,,,,,
,-5.469583,-81.082222,,,,,,,,,,,,,,,,,,
,-5.469861,-81.081944,,,,,,,,,,,,,,,,,,
,-5.469861,-81.081667,,,,,,,,,,,,,,,,,,
,-5.469583,-81.081389,,,,,,,,,,,,,,,,,,
,-5.469306,-81.081111,,,,,,,,,,,,,,,,,,
,-5.453194,-81.123056,,,,,,,,,,,,,,,,,,
,-5.454583,-81.121667,,,,,,,,,,,,,,,,,,
,-5.455972,-81.120833,,,,,,,,,,,,,,,,,,
,-5.456528,-81.12,,,,,,,,,,,,,,,,,,
,-5.456806,-81.119722,,,,,,,,,,,,,,,,,,
,-5.456528,-81.118889,,,,,,,,,,,,,,,,,,
,-5.456528,-81.118333,,,,,,,,,,,,,,,,,,
,-5.456806,-81.118056,,,,,,,,,,,,,,,,,,
,-5.423194,-81.129167,,,,,,,,,,,,,,,,,,
,-5.425139,-81.127778,,,,,,,,,,,,,,,,,,
,-5.425972,-81.126667,,,,,,,,,,,,,,,,,,
,-5.42625,-81.126111,,,,,,,,,,,,,,,,,,
,-5.42625,-81.125278,,,,,,,,,,,,,,,,,,
,-5.42625,-81.124444,,,,,,,,,,,,,,,,,,
,-5.430139,-81.068889,,,,,,,,,,,,,,,,,,
,-5.432361,-81.068333,,,,,,,,,,,,,,,,,,
,-5.434583,-81.067778,,,,,,,,,,,,,,,,,,
,-5.436806,-81.067222,,,,,,,,,,,,,,,,,,
,-5.43875,-81.066944,,,,,,,,,,,,,,,,,,
,-5.439583,-81.066667,,,,,,,,,,,,,,,,,,
,-5.439861,-81.066389,,,,,,,,,,,,,,,,,,
,-5.440417,-81.065833,,,,,,,,,,,,,,,,,,
,-5.440417,-81.065833,,,,,,,,,,,,,,,,,,
,-4.961528,-81.251667,,,,,,,,,,,,,,,,,,
,-4.964306,-81.251111,,,,,,,,,,,,,,,,,,
,-4.967083,-81.250278,,,,,,,,,,,,,,,,,,
,-4.968472,-81.249722,,,,,,,,,,,,,,,,,,
,-4.969861,-81.248611,,,,,,,,,,,,,,,,,,
,-4.97125,-81.247778,,,,,,,,,,,,,,,,,,
,-4.969861,-81.175833,,,,,,,,,,,,,,,,,,
,-4.971806,-81.176111,,,,,,,,,,,,,,,,,,
,-4.973472,-81.176111,,,,,,,,,,,,,,,,,,
,-4.975417,-81.176111,,,,,,,,,,,,,,,,,,
,-4.977361,-81.176111,,,,,,,,,,,,,,,,,,
,-4.979861,-81.175556,,,,,,,,,,,,,,,,,,
,-4.996528,-81.176389,,,,,,,,,,,,,,,,,,
,-4.997083,-81.175833,,,,,,,,,,,,,,,,,,
,-4.997083,-81.175556,,,,,,,,,,,,,,,,,,
,-4.997361,-81.175556,,,,,,,,,,,,,,,,,,
,-4.997639,-81.175278,,,,,,,,,,,,,,,,,,
,-4.997639,-81.175,,,,,,,,,,,,,,,,,,
,-4.997639,-81.174722,,,,,,,,,,,,,,,,,,
,-4.997639,-81.174167,,,,,,,,,,,,,,,,,,
,-4.997361,-81.173611,,,,,,,,,,,,,,,,,,
,-4.973194,-81.221944,,,,,,,,,,,,,,,,,,
,-4.974306,-81.221111,,,,,,,,,,,,,,,,,,
,-4.975139,-81.220278,,,,,,,,,,,,,,,,,,
,-4.975972,-81.22,,,,,,,,,,,,,,,,,,
,-4.976528,-81.22,,,,,,,,,,,,,,,,,,
,-4.976806,-81.220278,,,,,,,,,,,,,,,,,,
,-4.976528,-81.22,,,,,,,,,,,,,,,,,,
,-4.976528,-81.219722,,,,,,,,,,,,,,,,,,
,-4.984306,-81.170556,,,,,,,,,,,,,,,,,,
,-4.985972,-81.17,,,,,,,,,,,,,,,,,,
,-4.987083,-81.169722,,,,,,,,,,,,,,,,,,
,-4.987361,-81.17,,,,,,,,,,,,,,,,,,
,-4.987361,-81.17,,,,,,,,,,,,,,,,,,
,-4.987917,-81.17,,,,,,,,,,,,,,,,,,
,-4.988472,-81.169167,,,,,,,,,,,,,,,,,,
,-4.983194,-81.216944,,,,,,,,,,,,,,,,,,
,-4.984583,-81.217222,,,,,,,,,,,,,,,,,,
,-4.985417,-81.216944,,,,,,,,,,,,,,,,,,
,-4.985694,-81.217222,,,,,,,,,,,,,,,,,,
,-4.98625,-81.216944,,,,,,,,,,,,,,,,,,
,-4.98625,-81.216111,,,,,,,,,,,,,,,,,,
,-4.97875,-81.1625,,,,,,,,,,,,,,,,,,
,-4.979583,-81.162222,,,,,,,,,,,,,,,,,,
,-4.979583,-81.1625,,,,,,,,,,,,,,,,,,
,-4.979583,-81.161944,,,,,,,,,,,,,,,,,,
,-4.979861,-81.161944,,,,,,,,,,,,,,,,,,
,-4.979861,-81.161944,,,,,,,,,,,,,,,,,,
,-4.979861,-81.161944,,,,,,,,,,,,,,,,,,
,-4.980139,-81.161944,,,,,,,,,,,,,,,,,,
,-4.980139,-81.161944,,,,,,,,,,,,,,,,,,
,-4.980139,-81.161944,,,,,,,,,,,,,,,,,,
,-4.980417,-81.161944,,,,,,,,,,,,,,,,,,
,-4.980417,-81.161944,,,,,,,,,,,,,,,,,,
,-4.980694,-81.161944,,,,,,,,,,,,,,,,,,
,-4.980694,-81.162222,,,,,,,,,,,,,,,,,,
,-4.980972,-81.161944,,,,,,,,,,,,,,,,,,
,-4.982083,-81.161944,,,,,,,,,,,,,,,,,,
,-5.374306,-81.143056,,,,,,,,,,,,,,,,,,
,-5.375972,-81.1425,,,,,,,,,,,,,,,,,,
,-5.377083,-81.142222,,,,,,,,,,,,,,,,,,
,-5.378194,-81.1425,,,,,,,,,,,,,,,,,,
,-5.37875,-81.142222,,,,,,,,,,,,,,,,,,
,-5.37875,-81.141667,,,,,,,,,,,,,,,,,,
,-5.379306,-81.141389,,,,,,,,,,,,,,,,,,
,-5.379861,-81.140556,,,,,,,,,,,,,,,,,,
,-5.336528,-81.153889,,,,,,,,,,,,,,,,,,
,-5.338472,-81.153611,,,,,,,,,,,,,,,,,,
,-5.340139,-81.153611,,,,,,,,,,,,,,,,,,
,-5.341806,-81.153611,,,,,,,,,,,,,,,,,,
,-5.34375,-81.153333,,,,,,,,,,,,,,,,,,
,-5.344583,-81.153056,,,,,,,,,,,,,,,,,,
,-5.345417,-81.152778,,,,,,,,,,,,,,,,,,
,-5.345972,-81.1525,,,,,,,,,,,,,,,,,,
,-5.34625,-81.151944,,,,,,,,,,,,,,,,,,
,-5.010972,-81.158611,,,,,,,,,,,,,,,,,,
,-5.012639,-81.157778,,,,,,,,,,,,,,,,,,
,-5.014306,-81.156667,,,,,,,,,,,,,,,,,,
,-5.015139,-81.156667,,,,,,,,,,,,,,,,,,
,-5.015972,-81.156667,,,,,,,,,,,,,,,,,,
,-5.016528,-81.156944,,,,,,,,,,,,,,,,,,
,-5.017083,-81.156944,,,,,,,,,,,,,,,,,,
,-5.017917,-81.156944,,,,,,,,,,,,,,,,,,
,-5.01875,-81.156944,,,,,,,,,,,,,,,,,,
,-5.019028,-81.156667,,,,,,,,,,,,,,,,,,
,-5.008472,-81.188333,,,,,,,,,,,,,,,,,,
,-5.010972,-81.187222,,,,,,,,,,,,,,,,,,
,-5.013472,-81.186111,,,,,,,,,,,,,,,,,,
,-5.015139,-81.185556,,,,,,,,,,,,,,,,,,
,-5.015972,-81.185833,,,,,,,,,,,,,,,,,,
,-5.017083,-81.185556,,,,,,,,,,,,,,,,,,
,-5.017639,-81.185278,,,,,,,,,,,,,,,,,,
,-4.97125,-81.169722,,,,,,,,,,,,,,,,,,
,-4.974028,-81.1675,,,,,,,,,,,,,,,,,,
,-4.977083,-81.165278,,,,,,,,,,,,,,,,,,
,-4.980139,-81.163333,,,,,,,,,,,,,,,,,,
,-4.982917,-81.161389,,,,,,,,,,,,,,,,,,
,-4.985694,-81.159167,,,,,,,,,,,,,,,,,,
,-4.988194,-81.157222,,,,,,,,,,,,,,,,,,
,-4.990972,-81.155,,,,,,,,,,,,,,,,,,
,-5.000972,-81.137222,,,,,,,,,,,,,,,,,,
,-5.002917,-81.135,,,,,,,,,,,,,,,,,,
,-5.005139,-81.133333,,,,,,,,,,,,,,,,,,
,-5.00625,-81.132778,,,,,,,,,,,,,,,,,,
,-5.006528,-81.1325,,,,,,,,,,,,,,,,,,
,-5.007361,-81.131944,,,,,,,,,,,,,,,,,,
,-5.008194,-81.131111,,,,,,,,,,,,,,,,,,
,-4.95875,-81.215833,,,,,,,,,,,,,,,,,,
,-4.960972,-81.213611,,,,,,,,,,,,,,,,,,
,-4.963194,-81.211389,,,,,,,,,,,,,,,,,,
,-4.964028,-81.211111,,,,,,,,,,,,,,,,,,
,-4.965139,-81.210278,,,,,,,,,,,,,,,,,,
,-4.966528,-81.209444,,,,,,,,,,,,,,,,,,
,-4.967639,-81.209167,,,,,,,,,,,,,,,,,,
,-4.974306,-81.180556,,,,,,,,,,,,,,,,,,
,-4.976806,-81.178611,,,,,,,,,,,,,,,,,,
,-4.979306,-81.176944,,,,,,,,,,,,,,,,,,
,-4.980417,-81.176667,,,,,,,,,,,,,,,,,,
,-4.98125,-81.176111,,,,,,,,,,,,,,,,,,
,-4.982361,-81.175833,,,,,,,,,,,,,,,,,,
,-5.006806,-81.141944,,,,,,,,,,,,,,,,,,
,-5.00875,-81.140833,,,,,,,,,,,,,,,,,,
,-5.010694,-81.139722,,,,,,,,,,,,,,,,,,
,-5.011528,-81.139444,,,,,,,,,,,,,,,,,,
,-5.011528,-81.139722,,,,,,,,,,,,,,,,,,
,-5.012083,-81.139444,,,,,,,,,,,,,,,,,,
,-5.012083,-81.138889,,,,,,,,,,,,,,,,,,
,-5.484028,-81.095,,,,,,,,,,,,,,,,,,
,-5.485139,-81.093611,,,,,,,,,,,,,,,,,,
,-5.485694,-81.093056,,,,,,,,,,,,,,,,,,
,-5.485694,-81.093056,,,,,,,,,,,,,,,,,,
,-5.485694,-81.092778,,,,,,,,,,,,,,,,,,
,-5.485972,-81.0925,,,,,,,,,,,,,,,,,,
,-5.485694,-81.092222,,,,,,,,,,,,,,,,,,
,-5.422083,-81.099444,,,,,,,,,,,,,,,,,,
,-5.42375,-81.098056,,,,,,,,,,,,,,,,,,
,-5.424583,-81.096667,,,,,,,,,,,,,,,,,,
,-5.425972,-81.095556,,,,,,,,,,,,,,,,,,
,-5.427083,-81.094167,,,,,,,,,,,,,,,,,,
,-5.427917,-81.093611,,,,,,,,,,,,,,,,,,
,-5.428194,-81.093333,,,,,,,,,,,,,,,,,,
